               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11134,            0.014821,            0.079202,           0.0089583,               0.525,            0.019242,           0.0037039,            0.071655,            0.010829,            0.048037,              0.0982,              0.0002,              0.0002
                   1,             0.10874,            0.014117,            0.073608,           0.0083369,               0.525,            0.020721,           0.0036204,            0.069221,            0.011316,            0.047817,            0.095499,          0.00049901,          0.00049901
                   2,             0.10108,            0.018211,            0.075167,           0.0083068,               0.575,            0.016454,           0.0034744,              0.0655,            0.012086,            0.047308,            0.092797,          0.00079683,          0.00079683
                   3,            0.093722,            0.019441,            0.071784,            0.011488,               0.725,            0.019744,           0.0048967,            0.060078,            0.013256,            0.046456,            0.090093,           0.0010935,           0.0010935
                   4,            0.088435,            0.024825,            0.067605,            0.012766,                0.85,            0.029019,           0.0067038,            0.055677,            0.014129,            0.045217,            0.087389,           0.0013889,           0.0013889
                   5,            0.083266,            0.020752,            0.065019,            0.013854,                0.95,            0.034843,           0.0078603,            0.051142,            0.014878,            0.043842,            0.084683,           0.0016832,           0.0016832
                   6,            0.079731,            0.026648,            0.060605,            0.013283,                   1,            0.033475,            0.011049,            0.047925,            0.014995,            0.042092,            0.081976,           0.0019762,           0.0019762
                   7,            0.074482,            0.024876,              0.0593,            0.012348,                   1,            0.043762,             0.01238,            0.046564,            0.015165,             0.04098,            0.079268,           0.0022681,           0.0022681
                   8,            0.074855,             0.02472,            0.055026,            0.010933,                   1,            0.053947,            0.017193,            0.047159,            0.014635,            0.038605,            0.076559,           0.0025588,           0.0025588
                   9,            0.071083,            0.028413,            0.050281,            0.010707,                   1,            0.085754,            0.026323,            0.044972,             0.01444,             0.03618,            0.073848,           0.0028483,           0.0028483
                  10,            0.068215,            0.024761,            0.047619,            0.047911,                   1,             0.17081,             0.04439,            0.045077,            0.013383,            0.031345,            0.071137,           0.0031366,           0.0031366
                  11,            0.067314,            0.025985,            0.043259,             0.18099,               0.375,             0.42569,             0.13007,            0.040225,            0.013435,            0.029865,            0.068424,           0.0034238,           0.0034238
                  12,            0.063847,            0.024271,            0.039366,             0.09596,               0.675,              0.1177,            0.030607,            0.050088,            0.011939,            0.029098,             0.06571,           0.0037097,           0.0037097
                  13,            0.069295,            0.019496,            0.037949,            0.097662,             0.66424,             0.12471,            0.039967,            0.043286,            0.012311,            0.028512,            0.062994,           0.0039945,           0.0039945
                  14,            0.065196,             0.02233,            0.037578,             0.19771,               0.625,              0.2029,            0.064832,            0.051711,             0.01214,            0.028813,            0.060278,            0.004278,            0.004278
                  15,            0.072616,            0.018261,            0.035916,            0.076852,               0.675,            0.081056,            0.023092,             0.05351,            0.012604,            0.028627,             0.05756,           0.0045604,           0.0045604
                  16,            0.068452,            0.017929,            0.034563,             0.33518,                0.75,             0.45991,             0.12338,            0.046978,            0.013268,            0.027951,            0.054842,           0.0048416,           0.0048416
                  17,             0.06685,            0.017943,            0.034706,             0.27542,               0.475,              0.3294,            0.091152,            0.040248,            0.013908,            0.027516,            0.052122,           0.0051216,           0.0051216
                  18,            0.062558,            0.018898,            0.034025,             0.45827,             0.81286,             0.54828,             0.21566,            0.051646,            0.013178,            0.027142,              0.0494,           0.0054004,           0.0054004
                  19,            0.069209,            0.016735,              0.0331,             0.45164,                0.85,             0.55505,             0.24425,             0.04234,            0.013474,            0.026179,            0.046678,            0.005678,            0.005678
                  20,            0.062411,            0.019969,            0.033123,             0.37687,               0.875,             0.53215,             0.15982,            0.041536,            0.012969,            0.025655,            0.043954,           0.0059545,           0.0059545
                  21,            0.060055,            0.017438,            0.031964,             0.48251,               0.875,             0.56712,             0.27826,            0.047324,            0.012729,            0.024774,             0.04123,           0.0062297,           0.0062297
                  22,             0.06619,            0.017303,             0.03173,             0.45799,                 0.8,             0.55387,             0.19269,            0.052795,            0.013172,            0.023886,            0.038504,           0.0065038,           0.0065038
                  23,            0.071223,            0.014353,            0.031335,             0.21289,               0.725,             0.26646,             0.11648,            0.055992,            0.011668,            0.022056,            0.035777,           0.0067767,           0.0067767
                  24,            0.068399,            0.015468,            0.031366,             0.35858,             0.75831,             0.54458,             0.20174,            0.046361,              0.0104,            0.020943,            0.033048,           0.0070484,           0.0070484
                  25,            0.060984,             0.01733,            0.030791,             0.35471,                0.85,             0.59075,             0.16424,            0.049646,            0.010086,            0.019892,            0.030319,           0.0073188,           0.0073188
                  26,             0.06778,            0.014919,             0.03016,             0.36603,               0.875,             0.59674,             0.28797,            0.051374,           0.0093674,            0.019377,            0.027588,           0.0075882,           0.0075882
                  27,            0.072371,             0.01565,            0.030573,             0.38544,                0.85,             0.55434,             0.13266,            0.051918,           0.0092289,            0.018609,            0.024856,           0.0078563,           0.0078563
                  28,            0.071579,            0.015615,            0.029844,             0.38544,                0.85,             0.55434,             0.13266,            0.051918,           0.0092289,            0.018609,            0.022123,           0.0081232,           0.0081232
                  29,             0.06196,            0.016344,            0.029367,             0.50365,             0.85744,             0.66891,             0.24566,            0.043442,           0.0088997,            0.017967,            0.019389,            0.008389,            0.008389
                  30,            0.063873,              0.0156,            0.029386,             0.44318,             0.87886,             0.64682,              0.2887,            0.039003,           0.0093098,            0.017575,            0.016654,           0.0086535,           0.0086535
                  31,            0.071537,            0.014638,            0.028742,             0.24035,               0.625,              0.2796,            0.090369,            0.058259,           0.0077233,            0.016936,            0.013917,           0.0089169,           0.0089169
                  32,            0.073754,            0.016756,            0.028213,             0.24035,               0.625,              0.2796,            0.090369,            0.058259,           0.0077233,            0.016936,            0.011179,           0.0091791,           0.0091791
                  33,            0.063626,            0.014145,            0.028181,             0.31794,                0.85,             0.41601,              0.1116,            0.046193,           0.0087565,            0.016388,           0.0093466,           0.0093466,           0.0093466
                  34,             0.06177,            0.014163,            0.025205,             0.51849,                0.75,             0.70988,             0.20697,            0.047915,           0.0084672,             0.01482,           0.0093466,           0.0093466,           0.0093466
                  35,            0.071423,            0.013368,            0.025327,             0.43909,                 0.8,              0.5972,             0.18129,            0.042562,            0.008453,            0.013822,           0.0093268,           0.0093268,           0.0093268
                  36,            0.058789,            0.015472,            0.026449,             0.43909,                 0.8,              0.5972,             0.18129,            0.042562,            0.008453,            0.013822,            0.009307,            0.009307,            0.009307
                  37,            0.057985,            0.015539,            0.023709,             0.31384,               0.825,             0.34901,              0.1244,            0.041021,           0.0086246,            0.012703,           0.0092872,           0.0092872,           0.0092872
                  38,            0.063138,            0.014173,            0.023871,             0.45305,             0.81111,              0.6388,             0.15568,            0.052734,           0.0080869,            0.011917,           0.0092674,           0.0092674,           0.0092674
                  39,            0.074345,            0.014532,            0.021579,             0.47966,               0.875,             0.70514,             0.19946,            0.052109,           0.0090218,            0.010446,           0.0092476,           0.0092476,           0.0092476
                  40,            0.073848,            0.013753,            0.020772,             0.47966,               0.875,             0.70514,             0.19946,            0.052109,           0.0090218,            0.010446,           0.0092278,           0.0092278,           0.0092278
                  41,            0.069439,              0.0129,            0.021488,             0.45534,             0.97168,             0.57275,             0.28157,            0.043431,           0.0092792,           0.0096668,            0.009208,            0.009208,            0.009208
                  42,            0.071981,            0.012895,            0.019351,             0.35887,             0.72671,             0.38734,             0.08171,            0.056543,           0.0090793,           0.0089188,           0.0091882,           0.0091882,           0.0091882
                  43,            0.075728,            0.013112,            0.022594,             0.33991,                0.95,             0.56725,             0.23995,            0.041184,           0.0097528,           0.0097617,           0.0091684,           0.0091684,           0.0091684
                  44,            0.060965,             0.01471,            0.020255,             0.33991,                0.95,             0.56725,             0.23995,            0.041184,           0.0097528,           0.0097617,           0.0091486,           0.0091486,           0.0091486
                  45,            0.058074,            0.015548,             0.01871,             0.93296,                0.45,             0.60311,             0.25149,            0.041345,            0.009502,            0.009216,           0.0091288,           0.0091288,           0.0091288
                  46,            0.058371,            0.015611,            0.019036,             0.43422,               0.825,             0.82486,              0.3419,            0.043125,           0.0092703,           0.0086457,            0.009109,            0.009109,            0.009109
                  47,            0.056508,            0.013254,            0.019191,             0.48244,               0.825,             0.82072,             0.31168,            0.039554,           0.0084078,           0.0087339,           0.0090892,           0.0090892,           0.0090892
                  48,            0.057385,             0.01478,            0.018861,             0.48244,               0.825,             0.82072,             0.31168,            0.039554,           0.0084078,           0.0087339,           0.0090694,           0.0090694,           0.0090694
                  49,            0.055582,            0.013218,            0.017713,             0.57217,             0.91111,             0.85497,             0.32988,            0.038195,           0.0083819,           0.0080285,           0.0090496,           0.0090496,           0.0090496
                  50,            0.055107,            0.014819,            0.015369,             0.32313,             0.91045,             0.53766,             0.25263,            0.042061,           0.0092475,           0.0075713,           0.0090298,           0.0090298,           0.0090298
                  51,            0.060282,            0.013632,            0.016175,             0.65363,                 0.9,             0.83531,             0.35913,            0.036533,           0.0088859,           0.0070403,             0.00901,             0.00901,             0.00901
                  52,            0.053187,             0.01576,            0.015119,             0.65363,                 0.9,             0.83531,             0.35913,            0.036533,           0.0088859,           0.0070403,           0.0089902,           0.0089902,           0.0089902
                  53,            0.050958,            0.015503,            0.013866,             0.65511,               0.925,             0.90084,             0.49035,            0.029575,           0.0089424,            0.006816,           0.0089704,           0.0089704,           0.0089704
                  54,            0.054607,            0.014371,            0.015884,             0.37662,             0.92787,             0.58644,             0.35218,            0.041361,           0.0088408,           0.0067106,           0.0089506,           0.0089506,           0.0089506
                  55,            0.054764,            0.012986,            0.013128,             0.85544,                 0.9,             0.92471,             0.42263,            0.035435,           0.0092732,           0.0069459,           0.0089308,           0.0089308,           0.0089308
                  56,             0.05679,            0.012822,            0.016157,             0.85544,                 0.9,             0.92471,             0.42263,            0.035435,           0.0092732,           0.0069459,            0.008911,            0.008911,            0.008911
                  57,            0.048518,            0.013589,            0.013859,             0.75411,               0.975,             0.86902,             0.41091,            0.032317,           0.0089343,           0.0063903,           0.0088912,           0.0088912,           0.0088912
                  58,            0.049771,            0.013059,            0.015529,             0.77646,             0.66409,              0.8055,             0.48976,            0.032838,           0.0087335,           0.0062672,           0.0088714,           0.0088714,           0.0088714
                  59,            0.046885,            0.012799,            0.018541,             0.87787,             0.90613,             0.94949,             0.62432,            0.026087,           0.0086714,           0.0061573,           0.0088516,           0.0088516,           0.0088516
                  60,             0.04912,            0.012056,            0.015944,             0.87787,             0.90613,             0.94949,             0.62432,            0.026087,           0.0086714,           0.0061573,           0.0088318,           0.0088318,           0.0088318
                  61,            0.046633,            0.011741,            0.016387,             0.94662,             0.89363,             0.96894,             0.48772,            0.026751,           0.0086026,           0.0058736,            0.008812,            0.008812,            0.008812
                  62,            0.048272,            0.013459,            0.013911,             0.59823,             0.70806,               0.765,             0.20358,            0.036838,           0.0080491,            0.005667,           0.0087922,           0.0087922,           0.0087922
                  63,            0.052787,            0.012598,            0.015536,             0.55148,               0.875,             0.71848,             0.29293,            0.036264,            0.008141,           0.0063481,           0.0087724,           0.0087724,           0.0087724
                  64,              0.0559,            0.011809,            0.015756,             0.55148,               0.875,             0.71848,             0.29293,            0.036264,            0.008141,           0.0063481,           0.0087526,           0.0087526,           0.0087526
                  65,             0.04681,            0.011203,            0.015314,             0.55129,               0.925,             0.67653,             0.30655,            0.029796,           0.0076615,           0.0065612,           0.0087328,           0.0087328,           0.0087328
                  66,            0.047953,            0.012413,            0.013286,             0.61016,              0.9211,              0.7676,             0.37155,            0.035804,           0.0072921,           0.0062624,            0.008713,            0.008713,            0.008713
                  67,            0.055663,            0.011259,            0.012181,             0.64119,                 0.9,             0.88785,             0.49691,            0.029206,           0.0071619,           0.0061317,           0.0086932,           0.0086932,           0.0086932
                  68,            0.046976,             0.01122,             0.01488,             0.64119,                 0.9,             0.88785,             0.49691,            0.029206,           0.0071619,           0.0061317,           0.0086734,           0.0086734,           0.0086734
                  69,            0.040633,            0.013873,             0.01367,             0.68765,              0.9496,             0.96093,              0.5525,            0.024729,           0.0068221,           0.0059732,           0.0086536,           0.0086536,           0.0086536
                  70,            0.043865,            0.010317,            0.011745,             0.62868,             0.91426,             0.76598,             0.29583,            0.038082,           0.0065216,           0.0055655,           0.0086338,           0.0086338,           0.0086338
                  71,             0.04997,            0.011384,            0.013547,              0.8306,                 0.9,             0.94618,             0.59995,            0.027756,           0.0063355,            0.005041,            0.008614,            0.008614,            0.008614
                  72,            0.052333,            0.011887,            0.013087,              0.8306,                 0.9,             0.94618,             0.59995,            0.027756,           0.0063355,            0.005041,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043092,            0.012199,            0.013241,             0.70212,                0.95,             0.92997,             0.49095,            0.025475,           0.0062435,           0.0053094,           0.0085744,           0.0085744,           0.0085744
                  74,            0.042533,            0.012273,            0.013068,             0.64605,             0.92706,             0.91078,             0.36888,            0.030896,           0.0065019,           0.0049995,           0.0085546,           0.0085546,           0.0085546
                  75,            0.044478,            0.010934,            0.015409,             0.62639,               0.925,             0.87826,              0.4835,            0.028298,           0.0063502,           0.0050108,           0.0085348,           0.0085348,           0.0085348
                  76,            0.045823,            0.012285,            0.014542,             0.62639,               0.925,             0.87826,              0.4835,            0.028298,           0.0063502,           0.0050108,            0.008515,            0.008515,            0.008515
                  77,            0.046344,            0.010299,             0.01236,             0.77995,                0.85,             0.93389,             0.46892,            0.030947,           0.0066306,           0.0068036,           0.0084952,           0.0084952,           0.0084952
                  78,            0.044145,            0.010011,            0.015343,             0.56787,             0.83597,             0.84577,             0.57199,            0.027264,           0.0064453,           0.0078376,           0.0084754,           0.0084754,           0.0084754
                  79,             0.04147,            0.011576,             0.01492,             0.83813,                0.95,             0.97024,              0.5752,            0.028178,           0.0066256,            0.007503,           0.0084556,           0.0084556,           0.0084556
                  80,            0.044091,           0.0095064,            0.017239,             0.83813,                0.95,             0.97024,              0.5752,            0.028178,           0.0066256,            0.007503,           0.0084358,           0.0084358,           0.0084358
                  81,            0.038684,            0.013241,            0.014017,             0.76752,             0.97026,             0.97339,             0.61999,            0.019593,           0.0062541,           0.0068992,            0.008416,            0.008416,            0.008416
                  82,            0.040735,            0.012146,            0.017267,             0.49774,                0.85,             0.82917,              0.3114,            0.036614,           0.0065875,           0.0082412,           0.0083962,           0.0083962,           0.0083962
                  83,            0.044229,            0.012666,            0.012862,             0.70694,                0.85,             0.93316,             0.53878,            0.022787,           0.0060247,           0.0072485,           0.0083764,           0.0083764,           0.0083764
                  84,            0.043862,            0.011268,            0.013354,             0.70694,                0.85,             0.93316,             0.53878,            0.022787,           0.0060247,           0.0072485,           0.0083566,           0.0083566,           0.0083566
                  85,            0.037124,            0.013042,            0.014726,             0.84911,                0.95,             0.96487,             0.69341,            0.018978,           0.0057157,           0.0072316,           0.0083368,           0.0083368,           0.0083368
                  86,            0.038368,            0.011521,           0.0096451,             0.65032,                 0.8,             0.87236,             0.36851,            0.032126,           0.0061796,            0.007551,            0.008317,            0.008317,            0.008317
                  87,            0.053226,            0.011908,            0.017328,             0.81726,             0.86803,             0.94528,             0.64509,             0.02412,           0.0061551,           0.0068126,           0.0082972,           0.0082972,           0.0082972
                  88,            0.040892,            0.010162,            0.018088,             0.81726,             0.86803,             0.94528,             0.64509,             0.02412,           0.0061551,           0.0068126,           0.0082774,           0.0082774,           0.0082774
                  89,            0.036935,            0.012049,            0.010984,              0.8248,               0.925,             0.94419,             0.68289,            0.020477,           0.0059229,           0.0069433,           0.0082576,           0.0082576,           0.0082576
                  90,             0.03422,            0.010627,           0.0097307,             0.73414,                0.95,             0.95155,             0.66755,            0.021807,           0.0060312,           0.0059623,           0.0082378,           0.0082378,           0.0082378
                  91,            0.042207,            0.010414,            0.010921,             0.77678,                0.95,             0.95086,             0.63198,            0.021213,           0.0058923,           0.0056465,            0.008218,            0.008218,            0.008218
                  92,            0.039734,            0.010289,            0.014685,             0.77678,                0.95,             0.95086,             0.63198,            0.021213,           0.0058923,           0.0056465,           0.0081982,           0.0081982,           0.0081982
                  93,            0.041329,            0.010854,            0.012946,             0.93751,                0.95,             0.97875,             0.64042,            0.023447,           0.0058454,           0.0050684,           0.0081784,           0.0081784,           0.0081784
                  94,            0.042447,            0.010645,            0.010558,             0.72204,                0.95,             0.94164,             0.68346,            0.026977,           0.0058754,           0.0048226,           0.0081586,           0.0081586,           0.0081586
                  95,            0.047529,            0.011202,            0.012861,             0.95018,                0.95,               0.985,             0.44498,            0.026578,           0.0057081,           0.0047942,           0.0081388,           0.0081388,           0.0081388
                  96,            0.038233,            0.010807,            0.010635,             0.95018,                0.95,               0.985,             0.44498,            0.026578,           0.0057081,           0.0047942,            0.008119,            0.008119,            0.008119
                  97,            0.033916,            0.010208,            0.010482,             0.96952,               0.975,             0.98548,             0.57506,            0.022295,           0.0054279,            0.004795,           0.0080992,           0.0080992,           0.0080992
                  98,            0.037733,             0.01042,            0.010811,             0.77427,                0.95,             0.95025,             0.52081,            0.026242,           0.0056459,           0.0047873,           0.0080794,           0.0080794,           0.0080794
                  99,            0.044106,            0.011832,            0.010889,             0.78602,             0.97308,             0.95735,             0.60611,            0.022897,           0.0053264,           0.0047395,           0.0080596,           0.0080596,           0.0080596
                 100,            0.038998,           0.0089859,            0.011002,             0.78602,             0.97308,             0.95735,             0.60611,            0.022897,           0.0053264,           0.0047395,           0.0080398,           0.0080398,           0.0080398
                 101,            0.036573,            0.010856,            0.015171,             0.90142,               0.975,             0.98201,             0.68783,            0.022974,           0.0052056,           0.0046395,             0.00802,             0.00802,             0.00802
                 102,            0.041815,            0.011665,           0.0090552,             0.73008,             0.95961,             0.93886,             0.35073,            0.028725,           0.0056889,           0.0046543,           0.0080002,           0.0080002,           0.0080002
                 103,            0.049487,           0.0094192,            0.013734,             0.96389,               0.975,             0.98667,             0.58214,            0.023668,           0.0053786,           0.0047666,           0.0079804,           0.0079804,           0.0079804
                 104,            0.037272,           0.0096032,            0.012571,             0.96389,               0.975,             0.98667,             0.58214,            0.023668,           0.0053786,           0.0047666,           0.0079606,           0.0079606,           0.0079606
                 105,            0.035348,           0.0095698,            0.013861,             0.93338,               0.975,             0.98351,             0.60004,            0.022471,           0.0053309,           0.0047653,           0.0079408,           0.0079408,           0.0079408
                 106,            0.033255,           0.0092407,            0.011695,             0.97828,               0.975,             0.98613,             0.62875,             0.02144,           0.0050451,           0.0046417,            0.007921,            0.007921,            0.007921
                 107,            0.037178,            0.010402,            0.009508,             0.52826,             0.93215,              0.8153,             0.36235,            0.029134,           0.0053663,           0.0042825,           0.0079012,           0.0079012,           0.0079012
                 108,            0.044965,           0.0096996,            0.012206,             0.52826,             0.93215,              0.8153,             0.36235,            0.029134,           0.0053663,           0.0042825,           0.0078814,           0.0078814,           0.0078814
                 109,            0.040736,            0.011878,             0.01238,             0.70599,             0.97402,             0.88971,             0.47166,            0.024645,           0.0051868,           0.0040846,           0.0078616,           0.0078616,           0.0078616
                 110,            0.037706,            0.010189,            0.011909,             0.89428,             0.97047,             0.96059,             0.49464,             0.02049,           0.0049223,           0.0044085,           0.0078418,           0.0078418,           0.0078418
                 111,            0.035619,           0.0099543,            0.010218,               0.787,                0.95,             0.88742,             0.54203,            0.021181,           0.0049563,           0.0046178,            0.007822,            0.007822,            0.007822
                 112,            0.038583,           0.0095756,           0.0083921,               0.787,                0.95,             0.88742,             0.54203,            0.021181,           0.0049563,           0.0046178,           0.0078022,           0.0078022,           0.0078022
                 113,            0.035687,           0.0092494,            0.011194,             0.71719,             0.86279,             0.85331,             0.49038,            0.020313,           0.0050074,           0.0048673,           0.0077824,           0.0077824,           0.0077824
                 114,            0.035794,           0.0094625,            0.012671,             0.92343,             0.90599,             0.98443,             0.68252,            0.018451,           0.0049941,           0.0054804,           0.0077626,           0.0077626,           0.0077626
                 115,            0.032138,           0.0090663,            0.011462,             0.55484,                0.95,             0.87583,             0.50227,            0.024441,           0.0050195,           0.0055832,           0.0077428,           0.0077428,           0.0077428
                 116,            0.039733,            0.008895,            0.010512,             0.55484,                0.95,             0.87583,             0.50227,            0.024441,           0.0050195,           0.0055832,            0.007723,            0.007723,            0.007723
                 117,            0.039085,            0.010361,           0.0082063,             0.74188,             0.80003,             0.92948,             0.59901,            0.022203,           0.0049398,           0.0053897,           0.0077032,           0.0077032,           0.0077032
                 118,            0.038416,           0.0084193,            0.011675,             0.74164,               0.875,             0.94918,             0.36134,            0.027757,           0.0053636,           0.0047206,           0.0076834,           0.0076834,           0.0076834
                 119,            0.039701,            0.010244,            0.010246,             0.71452,             0.90362,             0.96005,             0.56211,            0.021913,           0.0050513,           0.0046188,           0.0076636,           0.0076636,           0.0076636
                 120,            0.039338,            0.010701,            0.010362,             0.71452,             0.90362,             0.96005,             0.56211,            0.021913,           0.0050513,           0.0046188,           0.0076438,           0.0076438,           0.0076438
                 121,            0.034023,           0.0090433,            0.011504,             0.87638,             0.91229,             0.95964,             0.72149,            0.019578,           0.0049534,           0.0042594,            0.007624,            0.007624,            0.007624
                 122,            0.032133,           0.0089217,            0.008762,             0.97936,               0.975,             0.99381,             0.63077,            0.022527,           0.0051326,           0.0037201,           0.0076042,           0.0076042,           0.0076042
                 123,            0.039557,           0.0092364,            0.010738,             0.97555,             0.94869,             0.99148,             0.65373,            0.019529,           0.0050442,           0.0035728,           0.0075844,           0.0075844,           0.0075844
                 124,            0.038783,           0.0086942,            0.012616,             0.97555,             0.94869,             0.99148,             0.65373,            0.019529,           0.0050442,           0.0035728,           0.0075646,           0.0075646,           0.0075646
                 125,            0.033333,           0.0094209,           0.0084046,             0.94714,                   1,             0.99045,             0.71778,             0.01604,           0.0048822,           0.0035043,           0.0075448,           0.0075448,           0.0075448
                 126,            0.032802,           0.0095923,           0.0086754,             0.79734,                0.95,             0.95983,             0.53597,            0.019667,           0.0049707,           0.0033826,            0.007525,            0.007525,            0.007525
                 127,            0.035079,           0.0092202,           0.0081431,             0.97878,              0.9924,               0.995,             0.63361,            0.019232,           0.0048514,           0.0034091,           0.0075052,           0.0075052,           0.0075052
                 128,            0.036025,           0.0081966,            0.011681,             0.97878,              0.9924,               0.995,             0.63361,            0.019232,           0.0048514,           0.0034091,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034464,           0.0092425,           0.0091215,             0.99293,                   1,               0.995,             0.77809,            0.014451,           0.0047301,           0.0035833,           0.0074656,           0.0074656,           0.0074656
                 130,            0.032831,           0.0092091,            0.009015,             0.68371,               0.925,             0.91254,             0.61553,            0.023451,           0.0052607,           0.0033697,           0.0074458,           0.0074458,           0.0074458
                 131,            0.041013,           0.0094322,           0.0096218,             0.91914,               0.925,             0.96314,             0.58936,            0.017978,           0.0048586,           0.0034325,            0.007426,            0.007426,            0.007426
